Arup





File 221109 HPC_Full model v7-4 - v40 for Roof-v1.gwb
Exported 10/02/2023 14:29:48

GSA 10.1.63.64 64-bit Copyright © Oasys 1985-2022

Beam and Spring Forces and Moments
The force in an element at any point is the force required to maintain
equilibrium if the element is cut at that point and the end 2 part of the
element is discarded.  Thus:     +ve axial forces are tensile
Forces and moments are output in element axis directions
i.e. Fx: axial force;  Fy & Fz: shear forces;  Mxx: torsion;  Myy & Mzz: moments
Element axes for springs are as defined by the spring property axis no.
For Response Spectrum analysis cases only results calculated in the analysis are available and these are only available in the axes in which they were calculated.
e.g. element displacements are only available in global directions; 2D element stresses are only available in local directions; principal stresses are not reported.
For Response Spectrum analysis cases only the sum of Total Reactions are reported.
All components are enveloped.  Components are not coexistent.
Member list:  7416 7502 7526 7527 7528 7530 7531 7534 to 7537 7539 7540 7543 to 7553 7568 to 7576 7578 to 7604 7791 7794 7795 8022 8023 8024 8037 to 8043 8276 to 8279 9172 9239 9241 to 9251 9264 9265 9266 9281 9292 9293 9342 to 9345 9516 to 9525 9533 to 9543 9545 to 9557 9572 to 9575 9848 10035 to 10039 10041 to 10045 10052 to 10059 10066 10107 to 10118 10196 10197 10198 10201 to 10204 10296 10299 10323 10324 10329 10330 10851 to 10854 10875 10876 10877 10880 10885 11049 11050 11051 11082 to 11090 11115 to 11118 11124 11125 11130 11131 11136 to 11144 11480 11481 11509 to 11514 11537 11538 11539 11576 11577 11581 11582 11970 11971 11979 11980 49145 49146 49173 49174 49193 49196 49220 49223
Case list:  C94 : ENV
Refer to Combination Case and Envelope Details for details of enveloping permutations.

START_TABLE Beam and Spring Forces and Moments
,,,,,[kN],,[kN],,[kN],,[kNm],,[kNm],,[kNm],,[kN],,[kNm],
Memb,Case,Node,Pos,Env,Fx,Fx Perm,Fy,Fy Perm,Fz,Fz Perm,Mxx,Mxx Perm,Myy,Myy Perm,Mzz,Mzz Perm,|Fyz|,|Fyz| Perm,|Myz|,|Myz| Perm
7791,C94,,50.0%,Max,542.3,P2,1.929,P4,72.59,P2,-2.434,P58,-13.47,P55,1.879,P2,72.61,P2,66.53,P32
7791,C94,,50.0%,Min,-834.5,P3,-2.518,P5,-21.78,P3,-8.079,P33,-66.53,P32,-1.948,P3,1.475,P56,13.47,P55
7791,C94,,56.2%,Max,542.3,P2,1.929,P4,74.77,P2,-2.434,P58,9.448,P2,2.001,P2,74.79,P2,61.44,P20
7791,C94,,56.2%,Min,-834.5,P3,-2.518,P5,-19.60,P3,-8.079,P33,-61.44,P20,-1.843,P3,3.075,P57,0.7548,P55
7791,C94,,62.5%,Max,542.3,P2,1.929,P4,76.95,P2,-2.434,P58,37.67,P2,2.123,P2,76.97,P2,57.56,P68
7791,C94,,62.5%,Min,-834.5,P3,-2.518,P5,-17.42,P3,-8.079,P33,-57.56,P68,-1.737,P3,5.119,P57,0.4878,P42
7791,C94,,68.7%,Max,542.3,P2,1.929,P4,79.14,P2,-2.434,P58,66.74,P2,2.338,P4,79.16,P2,66.78,P2
7791,C94,,68.7%,Min,-834.5,P3,-2.518,P5,-15.23,P3,-8.079,P33,-63.78,P68,-1.724,P5,3.533,P5,0.9054,P1
7791,C94,,75.0%,Max,542.3,P2,1.929,P4,81.32,P2,-2.434,P58,96.65,P2,2.609,P4,81.34,P2,96.68,P2
7791,C94,,75.0%,Min,-834.5,P3,-2.518,P5,-13.05,P3,-8.079,P33,-69.17,P68,-1.795,P69,2.187,P44,0.7166,P8
7791,C94,,75.0%,Max,558.1,P2,13.13,P69,101.8,P13,-3.714,P60,103.3,P2,8.995,P2,103.3,P13,103.7,P2
7791,C94,,75.0%,Min,-875.6,P3,-18.14,P12,-2.747,P69,-12.59,P33,-70.14,P68,-13.38,P3,7.813,P92,2.674,P66
7791,C94,,81.2%,Max,558.1,P2,13.13,P69,104.7,P13,-3.714,P60,139.7,P2,10.51,P2,106.2,P13,140.1,P2
7791,C94,,81.2%,Min,-875.6,P3,-18.14,P12,-0.5636,P69,-12.59,P33,-70.71,P68,-12.08,P3,8.929,P92,2.861,P91
7791,C94,,87.5%,Max,558.1,P2,13.13,P69,107.7,P13,-3.714,P60,176.9,P2,12.02,P2,109.1,P13,177.3,P2
7791,C94,,87.5%,Min,-875.6,P3,-18.14,P12,1.620,P69,-12.59,P33,-70.49,P69,-10.78,P3,10.39,P92,1.811,P20
7791,C94,,93.7%,Max,558.1,P2,13.13,P69,110.6,P13,-3.714,P60,215.0,P2,13.54,P4,112.0,P13,215.4,P2
7791,C94,,93.7%,Min,-875.6,P3,-18.14,P12,3.803,P69,-12.59,P33,-69.45,P69,-9.487,P5,12.07,P92,5.394,P56
7791,C94,7373,100.0%,Max,558.1,P2,13.13,P69,113.6,P13,-3.714,P60,253.9,P2,16.78,P12,114.9,P13,254.3,P2
7791,C94,7373,100.0%,Min,-875.6,P3,-18.14,P12,5.987,P69,-12.59,P33,-67.55,P69,-11.86,P69,13.89,P92,15.24,P56
7794,C94,7447,0.0%,Max,368.2,P4,14.66,P55,-0.1976,P2,-3.226,P72,162.9,P2,14.72,P55,88.11,P9,163.1,P2
7794,C94,7447,0.0%,Min,-498.5,P5,-21.28,P3,-86.08,P9,-9.579,P33,-93.23,P3,-19.61,P3,7.211,P4,8.362,P42
7794,C94,,6.3%,Max,368.2,P4,14.66,P55,1.994,P2,-3.226,P72,133.7,P2,9.673,P2,85.22,P9,134.0,P2
7794,C94,,6.3%,Min,-498.5,P5,-21.28,P3,-83.13,P9,-9.579,P33,-92.99,P3,-16.01,P3,6.219,P4,2.411,P6
7794,C94,,12.5%,Max,368.2,P4,14.66,P55,4.185,P2,-3.226,P72,105.3,P2,11.02,P2,82.34,P9,105.9,P2
7794,C94,,12.5%,Min,-498.5,P5,-21.28,P3,-80.17,P9,-9.579,P33,-91.91,P3,-12.40,P3,5.820,P76,0.9117,P40
7794,C94,,18.8%,Max,368.2,P4,14.66,P55,6.376,P2,-3.226,P72,77.76,P2,12.37,P2,79.46,P9,90.40,P3
7794,C94,,18.8%,Min,-498.5,P5,-21.28,P3,-77.21,P9,-9.579,P33,-89.97,P3,-8.799,P3,3.631,P76,1.430,P35
7794,C94,,25.0%,Max,368.2,P4,14.66,P55,8.567,P2,-3.226,P72,51.09,P2,13.72,P2,76.59,P9,87.33,P3
7794,C94,,25.0%,Min,-498.5,P5,-21.28,P3,-74.25,P9,-9.579,P33,-87.18,P3,-8.025,P55,1.448,P76,4.766,P68
7794,C94,,25.0%,Max,301.9,P4,1.258,P2,23.01,P2,-1.943,P67,46.67,P2,1.385,P55,55.44,P3,85.37,P3
7794,C94,,25.0%,Min,-518.0,P5,-1.749,P3,-55.42,P3,-5.579,P25,-85.35,P3,-2.060,P3,0.4559,P48,2.737,P68
7794,C94,,31.2%,Max,301.9,P4,1.258,P2,25.20,P2,-1.943,P67,27.12,P2,1.224,P2,53.25,P3,77.55,P3
7794,C94,,31.2%,Min,-518.0,P5,-1.749,P3,-53.22,P3,-5.579,P25,-77.52,P3,-1.987,P3,0.6915,P51,0.5317,P58
7794,C94,,37.5%,Max,301.9,P4,1.258,P2,27.39,P2,-1.943,P67,8.426,P2,1.342,P2,51.06,P3,75.87,P7
7794,C94,,37.5%,Min,-518.0,P5,-1.749,P3,-51.03,P3,-5.579,P25,-75.87,P7,-1.915,P3,0.8570,P47,0.3680,P82
7794,C94,,43.7%,Max,301.9,P4,1.258,P2,29.58,P2,-1.943,P67,-8.156,P4,1.460,P2,48.87,P3,74.96,P7
7794,C94,,43.7%,Min,-518.0,P5,-1.749,P3,-48.84,P3,-5.579,P25,-74.96,P7,-1.842,P3,0.8074,P42,8.255,P4
7794,C94,,50.0%,Max,301.9,P4,1.258,P2,31.77,P2,-1.943,P67,-22.26,P85,1.578,P2,46.68,P3,75.95,P6
7794,C94,,50.0%,Min,-518.0,P5,-1.749,P3,-46.65,P3,-5.579,P25,-75.95,P6,-1.770,P3,1.669,P42,22.26,P85
7794,C94,,50.0%,Max,230.8,P4,2.484,P2,54.34,P2,4.830,P31,-23.59,P85,1.824,P2,54.40,P2,74.17,P6
7794,C94,,50.0%,Min,-563.9,P5,-0.7308,P3,-24.20,P3,0.7460,P49,-74.17,P6,-1.470,P3,0.9926,P62,23.60,P85
7794,C94,,56.2%,Max,230.8,P4,2.484,P2,56.54,P2,4.830,P31,-7.439,P4,1.408,P2,56.59,P2,59.66,P32
7794,C94,,56.2%,Min,-563.9,P5,-0.7308,P3,-22.01,P3,0.7460,P49,-59.66,P32,-1.734,P3,0.1929,P58,7.559,P4
7794,C94,,62.5%,Max,230.8,P4,2.484,P2,58.73,P2,4.830,P31,11.66,P2,0.9914,P2,58.78,P2,59.41,P3
7794,C94,,62.5%,Min,-563.9,P5,-0.7308,P3,-19.82,P3,0.7460,P49,-59.38,P3,-1.997,P3,0.4572,P91,8.497,P77
7794,C94,,68.7%,Max,230.8,P4,2.484,P2,60.92,P2,4.830,P31,32.14,P2,0.5748,P2,60.97,P2,63.95,P3
7794,C94,,68.7%,Min,-563.9,P5,-0.7308,P3,-17.63,P3,0.7460,P49,-63.91,P3,-2.261,P3,1.624,P88,1.410,P54
7794,C94,,75.0%,Max,230.8,P4,2.484,P2,63.11,P2,4.830,P31,53.47,P2,0.5508,P67,63.16,P2,67.65,P3
7794,C94,,75.0%,Min,-563.9,P5,-0.7308,P3,-15.44,P3,0.7460,P49,-67.60,P3,-2.628,P13,0.5384,P92,0.8849,P42
7794,C94,,75.0%,Max,185.2,P67,14.92,P2,86.77,P7,9.632,P31,58.44,P2,10.92,P2,87.42,P7,68.55,P3
7794,C94,,75.0%,Min,-647.9,P5,-5.009,P3,-0.6379,P3,2.098,P49,-68.43,P3,-4.065,P3,4.727,P5,2.605,P19
7794,C94,,81.2%,Max,185.2,P67,14.92,P2,89.72,P7,9.632,P31,88.36,P2,9.141,P2,90.36,P7,88.83,P2
7794,C94,,81.2%,Min,-647.9,P5,-5.009,P3,1.553,P3,2.098,P49,-68.11,P3,-6.130,P3,5.245,P3,2.053,P67
7794,C94,,87.5%,Max,185.2,P67,14.92,P2,92.68,P7,9.632,P31,119.1,P2,7.362,P2,93.30,P7,119.4,P2
7794,C94,,87.5%,Min,-647.9,P5,-5.009,P3,3.745,P3,2.098,P49,-66.94,P3,-8.195,P3,6.254,P3,0.1477,P60
7794,C94,,93.7%,Max,185.2,P67,14.92,P2,95.64,P7,9.632,P31,150.7,P2,5.583,P2,96.24,P7,150.8,P2
7794,C94,,93.7%,Min,-647.9,P5,-5.009,P3,5.936,P3,2.098,P49,-64.93,P3,-10.26,P3,7.767,P3,0.2806,P69
7794,C94,7445,100.0%,Max,185.2,P67,14.92,P2,98.60,P7,9.632,P31,183.2,P2,3.804,P2,99.18,P7,183.2,P2
7794,C94,7445,100.0%,Min,-647.9,P5,-5.009,P3,8.127,P3,2.098,P49,-62.06,P3,-12.32,P3,9.547,P3,0.6606,P90
7795,C94,4851,0.0%,Max,591.9,P2,39.42,P2,-82.46,P55,9.117,P2,393.4,P8,36.15,P2,229.0,P8,393.4,P8
7795,C94,4851,0.0%,Min,-1037.,P3,-37.21,P3,-229.0,P8,-3.249,P3,55.29,P5,-31.99,P3,82.98,P55,59.59,P5
7795,C94,,5.0%,Max,591.9,P2,39.42,P2,-79.22,P55,9.117,P2,315.2,P8,32.01,P2,224.7,P8,315.2,P8
7795,C94,,5.0%,Min,-1037.,P3,-37.21,P3,-224.6,P8,-3.249,P3,25.86,P5,-28.61,P3,79.75,P55,32.78,P5
7795,C94,,10.0%,Max,591.9,P2,39.42,P2,-75.97,P55,9.117,P2,238.5,P8,27.88,P2,220.3,P8,238.5,P8
7795,C94,,10.0%,Min,-1037.,P3,-37.21,P3,-220.2,P8,-3.249,P3,-2.441,P5,-25.24,P3,76.53,P55,18.19,P5
7795,C94,,15.0%,Max,591.9,P2,39.42,P2,-72.72,P55,9.117,P2,181.5,P4,23.75,P2,215.9,P8,182.4,P4
7795,C94,,15.0%,Min,-1037.,P3,-37.21,P3,-215.8,P8,-3.249,P3,-29.63,P5,-21.87,P3,73.31,P55,5.454,P55
7795,C94,,20.0%,Max,591.9,P2,39.42,P2,-69.48,P55,9.117,P2,128.9,P4,19.61,P2,211.5,P8,129.7,P4
7795,C94,,20.0%,Min,-1037.,P3,-37.21,P3,-211.5,P8,-3.249,P3,-55.69,P5,-18.50,P3,70.09,P55,2.384,P56
7795,C94,,20.0%,Max,693.4,P2,15.76,P2,-78.47,P55,-6.020,P48,115.4,P4,8.996,P2,229.6,P8,115.7,P4
7795,C94,,20.0%,Min,-1115.,P3,-20.33,P3,-229.4,P8,-23.96,P31,-65.58,P5,-11.99,P3,78.96,P55,1.608,P67
7795,C94,,25.0%,Max,693.4,P2,15.76,P2,-75.23,P55,-6.020,P48,63.34,P4,10.88,P2,225.2,P8,97.72,P5
7795,C94,,25.0%,Min,-1115.,P3,-20.33,P3,-225.0,P8,-23.96,P31,-97.17,P5,-12.30,P3,75.73,P55,2.301,P59
7795,C94,,29.9%,Max,693.4,P2,15.76,P2,-71.98,P55,-6.020,P48,12.39,P4,12.77,P2,220.9,P8,128.1,P5
7795,C94,,29.9%,Min,-1115.,P3,-20.33,P3,-220.7,P8,-23.96,P31,-127.6,P5,-12.61,P3,72.51,P55,12.91,P2
7795,C94,,34.9%,Max,693.4,P2,15.76,P2,-68.74,P55,-6.020,P48,-37.45,P4,14.65,P2,216.5,P8,178.9,P31
7795,C94,,34.9%,Min,-1115.,P3,-20.33,P3,-216.3,P8,-23.96,P31,-178.9,P31,-12.92,P3,69.29,P55,39.31,P4
7795,C94,,39.9%,Max,693.4,P2,15.76,P2,-65.49,P55,-6.020,P48,-86.17,P4,16.54,P2,212.1,P8,245.5,P31
7795,C94,,39.9%,Min,-1115.,P3,-20.33,P3,-211.9,P8,-23.96,P31,-245.5,P31,-13.23,P3,66.07,P55,87.22,P4
7795,C94,,39.9%,Max,581.2,P2,9.149,P4,156.6,P31,-2.055,P2,-224.1,P82,8.249,P4,156.6,P31,553.2,P6
7795,C94,,39.9%,Min,-918.8,P3,-5.695,P5,34.00,P5,-13.62,P6,-553.2,P6,-3.988,P5,34.47,P5,224.1,P82
7795,C94,,44.9%,Max,581.2,P2,9.149,P4,161.0,P31,-2.055,P2,-207.6,P82,7.254,P2,161.0,P31,499.1,P6
7795,C94,,44.9%,Min,-918.8,P3,-5.695,P5,37.25,P5,-13.62,P6,-499.1,P6,-4.187,P3,37.68,P5,207.6,P82
7795,C94,,49.9%,Max,581.2,P2,9.149,P4,165.4,P31,-2.055,P2,-188.1,P66,6.283,P2,165.4,P31,443.5,P6
7795,C94,,49.9%,Min,-918.8,P3,-5.695,P5,40.51,P5,-13.62,P6,-443.5,P6,-4.409,P3,40.91,P5,188.1,P66
7795,C94,,54.9%,Max,581.2,P2,9.149,P4,169.8,P31,-2.055,P2,-161.9,P67,5.311,P2,169.8,P31,389.7,P24
7795,C94,,54.9%,Min,-918.8,P3,-5.695,P5,43.76,P5,-13.62,P6,-389.7,P24,-4.632,P3,44.13,P5,161.9,P67
7795,C94,,60.0%,Max,581.2,P2,9.149,P4,174.1,P31,-2.055,P2,-129.2,P55,4.340,P2,174.2,P31,335.7,P24
7795,C94,,60.0%,Min,-918.8,P3,-5.695,P5,47.02,P5,-13.62,P6,-335.7,P24,-4.855,P3,47.36,P5,129.2,P55
7795,C94,,60.0%,Max,617.9,P2,1.828,P4,233.7,P31,7.858,P19,-122.6,P55,3.703,P2,233.7,P31,323.6,P24
7795,C94,,60.0%,Min,-1003.,P3,-2.612,P5,72.60,P5,-3.371,P3,-323.6,P24,-3.861,P3,72.65,P5,122.6,P55
7795,C94,,65.0%,Max,617.9,P2,1.828,P4,238.1,P31,7.858,P19,-78.84,P55,4.552,P2,238.1,P31,247.7,P24
7795,C94,,65.0%,Min,-1003.,P3,-2.612,P5,75.86,P5,-3.371,P3,-247.7,P24,-4.439,P3,75.90,P5,78.86,P55
7795,C94,,70.0%,Max,617.9,P2,1.828,P4,242.5,P31,7.858,P19,-26.04,P2,5.400,P2,242.5,P31,170.4,P24
7795,C94,,70.0%,Min,-1003.,P3,-2.612,P5,79.11,P5,-3.371,P3,-170.4,P24,-5.017,P3,79.16,P5,26.59,P2
7795,C94,,75.0%,Max,617.9,P2,1.828,P4,246.8,P31,7.858,P19,28.96,P2,6.249,P2,246.8,P31,119.2,P3
7795,C94,,75.0%,Min,-1003.,P3,-2.612,P5,82.37,P5,-3.371,P3,-119.1,P3,-5.594,P3,82.41,P5,1.892,P43
7795,C94,,80.0%,Max,617.9,P2,1.828,P4,251.2,P31,7.858,P19,85.09,P2,7.098,P2,251.2,P31,87.30,P3
7795,C94,,80.0%,Min,-1003.,P3,-2.612,P5,85.62,P5,-3.371,P3,-87.08,P3,-6.172,P3,85.66,P5,0.7930,P91
7795,C94,,80.0%,Max,607.4,P2,32.33,P2,285.1,P31,25.45,P31,91.68,P2,18.43,P2,285.1,P31,93.51,P2
7795,C94,,80.0%,Min,-1058.,P3,-21.76,P3,101.2,P5,4.082,P3,-83.73,P3,-14.67,P3,102.1,P5,0.3259,P53
7795,C94,,85.0%,Max,607.4,P2,32.33,P2,289.5,P31,25.45,P31,156.2,P2,17.80,P2,289.5,P31,157.2,P2
7795,C94,,85.0%,Min,-1058.,P3,-21.76,P3,104.4,P5,4.082,P3,-46.30,P3,-17.71,P3,105.3,P5,3.539,P61
7795,C94,,90.0%,Max,607.4,P2,32.33,P2,293.9,P31,25.45,P31,245.5,P19,17.18,P2,293.9,P31,245.5,P19
7795,C94,,90.0%,Min,-1058.,P3,-21.76,P3,107.7,P5,4.082,P3,-7.756,P3,-20.74,P3,108.5,P5,16.43,P5
7795,C94,,95.0%,Max,607.4,P2,32.33,P2,298.3,P31,25.45,P31,342.7,P31,16.56,P2,298.3,P31,342.8,P31
7795,C94,,95.0%,Min,-1058.,P3,-21.76,P3,110.9,P5,4.082,P3,31.92,P3,-23.78,P3,111.8,P5,36.87,P5
7795,C94,7449,100.0%,Max,607.4,P2,32.33,P2,302.7,P31,25.45,P31,446.6,P31,15.94,P2,302.7,P31,446.7,P31
7795,C94,7449,100.0%,Min,-1058.,P3,-21.76,P3,114.2,P5,4.082,P3,72.14,P5,-26.81,P3,115.0,P5,74.78,P5
8022,C94,7132,0.0%,Max,38.21,P2,1.571,P2,73.59,P6,-2.398,P4,-0.5514,P2,1.404,P2,73.60,P6,5.885,P6
8022,C94,7132,0.0%,Min,-34.32,P3,-2.856,P3,28.10,P3,-8.267,P6,-5.678,P6,-3.119,P3,28.25,P3,1.075,P4
8022,C94,,8.3%,Max,38.21,P2,1.571,P2,78.77,P6,-2.398,P4,25.40,P6,1.460,P2,78.78,P6,25.42,P6
8022,C94,,8.3%,Min,-34.32,P3,-2.856,P3,31.95,P3,-8.267,P6,9.047,P3,-2.650,P3,32.07,P3,9.427,P3
8022,C94,,16.7%,Max,38.21,P2,1.571,P2,83.96,P6,-2.398,P4,58.59,P6,1.516,P2,83.97,P6,58.59,P6
8022,C94,,16.7%,Min,-34.32,P3,-2.856,P3,35.79,P3,-8.267,P6,23.01,P3,-2.182,P3,35.90,P3,23.11,P3
8022,C94,,25.0%,Max,38.21,P2,1.571,P2,89.14,P6,-2.398,P4,93.90,P6,1.572,P2,89.15,P6,93.90,P6
8022,C94,,25.0%,Min,-34.32,P3,-2.856,P3,39.63,P3,-8.267,P6,38.53,P3,-1.714,P3,39.73,P3,38.57,P3
8022,C94,,33.3%,Max,38.21,P2,1.571,P2,94.33,P6,-2.398,P4,131.3,P6,1.628,P2,94.33,P6,131.3,P6
8022,C94,,33.3%,Min,-34.32,P3,-2.856,P3,43.47,P3,-8.267,P6,55.63,P3,-1.246,P3,43.56,P3,55.64,P3
8022,C94,,33.3%,Max,54.02,P2,4.301,P4,182.5,P6,-7.443,P2,152.0,P6,4.036,P4,182.5,P6,152.0,P6
8022,C94,,33.3%,Min,-42.83,P3,-6.883,P5,74.04,P3,-20.14,P6,64.51,P3,-6.415,P5,74.35,P3,64.79,P3
8022,C94,,41.7%,Max,54.02,P2,4.301,P4,187.7,P6,-7.443,P2,227.5,P6,4.240,P4,187.7,P6,227.5,P6
8022,C94,,41.7%,Min,-42.83,P3,-6.883,P5,77.88,P3,-20.14,P6,95.54,P3,-5.565,P5,78.18,P3,95.69,P3
8022,C94,,50.0%,Max,54.02,P2,4.301,P4,192.9,P6,-7.443,P2,305.1,P6,4.444,P4,192.9,P6,305.1,P6
8022,C94,,50.0%,Min,-42.83,P3,-6.883,P5,81.72,P3,-20.14,P6,128.1,P3,-4.716,P5,82.00,P3,128.2,P3
8022,C94,,58.3%,Max,54.02,P2,4.301,P4,198.1,P6,-7.443,P2,384.9,P6,4.733,P2,198.1,P6,384.9,P6
8022,C94,,58.3%,Min,-42.83,P3,-6.883,P5,85.56,P3,-20.14,P6,162.3,P3,-3.953,P3,85.83,P3,162.3,P3
8022,C94,,66.7%,Max,54.02,P2,4.301,P4,203.2,P6,-7.443,P2,466.7,P6,5.094,P2,203.3,P6,466.7,P6
8022,C94,,66.7%,Min,-42.83,P3,-6.883,P5,89.40,P3,-20.14,P6,198.0,P3,-3.260,P3,89.66,P3,198.0,P3
8022,C94,,66.7%,Max,74.49,P4,19.55,P4,360.2,P6,8.130,P22,495.8,P6,13.34,P4,360.3,P6,495.8,P6
8022,C94,,66.7%,Min,-35.54,P5,-28.35,P5,153.8,P84,1.539,P5,210.6,P3,-19.11,P5,153.8,P84,211.2,P3
8022,C94,,75.0%,Max,74.49,P4,19.55,P4,365.4,P6,8.130,P22,643.8,P6,16.80,P4,365.5,P6,643.8,P6
8022,C94,,75.0%,Min,-35.54,P5,-28.35,P5,157.7,P84,1.539,P5,275.7,P3,-18.98,P5,157.7,P84,276.2,P3
8022,C94,,83.3%,Max,74.49,P4,19.55,P4,370.6,P6,8.130,P22,793.9,P6,20.26,P4,370.7,P6,793.9,P6
8022,C94,,83.3%,Min,-35.54,P5,-28.35,P5,161.5,P84,1.539,P5,342.4,P3,-18.85,P5,161.5,P84,342.8,P3
8022,C94,,91.7%,Max,74.49,P4,19.55,P4,375.8,P6,8.130,P22,946.2,P6,23.72,P4,375.9,P6,946.2,P6
8022,C94,,91.7%,Min,-35.54,P5,-28.35,P5,165.4,P84,1.539,P5,410.7,P3,-18.72,P5,165.4,P84,411.0,P3
8022,C94,6153,100.0%,Max,74.49,P4,19.55,P4,381.0,P6,8.130,P22,1101.,P6,27.19,P4,381.1,P6,1101.,P6
8022,C94,6153,100.0%,Min,-35.54,P5,-28.35,P5,169.2,P84,1.539,P5,480.6,P3,-18.59,P5,169.2,P84,480.8,P3
8023,C94,7133,0.0%,Max,103.6,P2,0.8957,P2,-29.40,P2,6.467,P6,139.0,P24,0.8659,P4,77.23,P24,139.0,P24
8023,C94,7133,0.0%,Min,-133.8,P3,-0.7431,P3,-77.23,P24,2.370,P60,51.63,P3,-0.6560,P5,29.41,P2,51.64,P3
8023,C94,,8.3%,Max,103.6,P2,0.8957,P2,-28.05,P2,6.467,P6,114.6,P24,0.7223,P2,75.40,P24,114.6,P24
8023,C94,,8.3%,Min,-133.8,P3,-0.7431,P3,-75.40,P24,2.370,P60,42.30,P3,-0.5611,P3,28.06,P2,42.30,P3
8023,C94,,16.7%,Max,103.6,P2,0.8957,P2,-26.69,P2,6.467,P6,90.88,P24,0.5870,P2,73.58,P24,90.88,P24
8023,C94,,16.7%,Min,-133.8,P3,-0.7431,P3,-73.58,P24,2.370,P60,33.40,P3,-0.4745,P3,26.71,P2,33.40,P3
8023,C94,,25.0%,Max,103.6,P2,0.8957,P2,-25.34,P2,6.467,P6,67.69,P24,0.4518,P2,71.75,P24,67.69,P24
8023,C94,,25.0%,Min,-133.8,P3,-0.7431,P3,-71.75,P24,2.370,P60,24.68,P5,-0.3880,P3,25.36,P2,24.68,P5
8023,C94,,33.3%,Max,103.6,P2,0.8957,P2,-23.99,P2,6.467,P6,45.09,P24,0.3166,P2,69.93,P24,45.09,P24
8023,C94,,33.3%,Min,-133.8,P3,-0.7431,P3,-69.93,P24,2.370,P60,15.52,P5,-0.3014,P3,24.01,P2,15.52,P5
8023,C94,,33.3%,Max,112.0,P2,0.4855,P2,-14.04,P4,-0.1011,P2,39.52,P24,0.3786,P2,38.70,P24,39.52,P24
8023,C94,,33.3%,Min,-138.2,P3,-0.4626,P3,-38.70,P24,-1.011,P24,13.12,P5,-0.2778,P3,14.04,P4,13.12,P5
8023,C94,,41.7%,Max,112.0,P2,0.4855,P2,-12.69,P4,-0.1011,P2,27.46,P24,0.3719,P2,36.87,P24,27.46,P24
8023,C94,,41.7%,Min,-138.2,P3,-0.4626,P3,-36.87,P24,-1.011,P24,7.536,P5,-0.2784,P3,12.69,P4,7.539,P5
8023,C94,,50.0%,Max,112.0,P2,0.4855,P2,-11.34,P4,-0.1011,P2,16.18,P22,0.3652,P2,35.05,P24,16.18,P22
8023,C94,,50.0%,Min,-138.2,P3,-0.4626,P3,-35.05,P24,-1.011,P24,2.382,P5,-0.2789,P3,11.34,P4,2.390,P5
8023,C94,,58.3%,Max,112.0,P2,0.4855,P2,-9.984,P4,-0.1011,P2,7.513,P2,0.3585,P2,33.22,P24,7.522,P2
8023,C94,,58.3%,Min,-138.2,P3,-0.4626,P3,-33.22,P24,-1.011,P24,-2.892,P3,-0.2795,P3,9.991,P4,1.112,P81
8023,C94,,66.7%,Max,112.0,P2,0.4855,P2,-8.633,P4,-0.1011,P2,2.011,P2,0.3517,P2,31.40,P24,7.930,P3
8023,C94,,66.7%,Min,-138.2,P3,-0.4626,P3,-31.40,P24,-1.011,P24,-7.925,P3,-0.2801,P3,8.640,P4,0.7489,P58
8023,C94,,66.7%,Max,119.8,P2,1.165,P2,2.398,P4,-2.196,P2,1.273,P2,0.5809,P2,11.16,P5,9.278,P3
8023,C94,,66.7%,Min,-140.8,P3,-1.062,P3,-11.12,P5,-6.438,P24,-9.266,P3,-0.4693,P3,1.200,P2,0.5173,P4
8023,C94,,75.0%,Max,119.8,P2,1.165,P2,3.750,P4,-2.196,P2,1.013,P2,0.6597,P2,9.813,P5,11.37,P3
8023,C94,,75.0%,Min,-140.8,P3,-1.062,P3,-9.770,P5,-6.438,P24,-11.36,P3,-0.5811,P3,1.577,P2,0.7695,P4
8023,C94,,83.3%,Max,119.8,P2,1.165,P2,5.102,P4,-2.196,P2,1.523,P4,0.7386,P2,8.468,P5,13.37,P5
8023,C94,,83.3%,Min,-140.8,P3,-1.062,P3,-8.419,P5,-6.438,P24,-13.36,P5,-0.6929,P3,0.6255,P55,1.396,P2
8023,C94,,91.7%,Max,119.8,P2,1.165,P2,6.454,P4,-2.196,P2,2.967,P4,0.8174,P2,7.126,P5,15.45,P5
8023,C94,,91.7%,Min,-140.8,P3,-1.062,P3,-7.067,P5,-6.438,P24,-15.43,P5,-0.8046,P3,0.05330,P35,1.965,P2
8023,C94,7134,100.0%,Max,119.8,P2,1.165,P2,7.805,P4,-2.196,P2,4.843,P4,0.8963,P2,7.871,P4,17.09,P5
8023,C94,7134,100.0%,Min,-140.8,P3,-1.062,P3,-5.715,P5,-6.438,P24,-17.07,P5,-0.9164,P3,0.1860,P12,2.960,P2
8024,C94,5214,0.0%,Max,103.1,P2,0.8334,P2,-21.63,P2,0.4950,P4,138.9,P24,0.7093,P2,53.98,P24,138.9,P24
8024,C94,5214,0.0%,Min,-134.1,P3,-0.9892,P3,-53.98,P24,-0.2898,P5,55.30,P3,-0.8961,P3,21.64,P2,55.30,P3
8024,C94,,8.3%,Max,103.1,P2,0.8334,P2,-20.28,P2,0.4950,P4,122.0,P24,0.6265,P2,52.15,P24,122.0,P24
